Batch No,StartDate,FinishDate,Product,Para 1,Para 2,Para 3,Para 4,Para 5,Para 6,Para 7,Para 8,Para 9,Para 10,Para 11,Para 12,Para 13,Parameter Names
Batch037,10-Jul-01,18-Jul-01,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch041,31-Jul-01,07-Aug-01,RVM,16.91038786,1.331722683,0.613435911,4633.835029,0.352565893,52,135,7.02,86.66,4.51,22,204.92,4.51,
Batch042,31-Jul-01,07-Aug-01,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch043,27-Aug-01,27-Aug-01,RVM,15.73571161,1.152096669,0.883232908,2610.679613,0.127599214,41,71,2.91,.,.,16,.,.,
Batch046,18-Sep-01,27-Sep-01,RVM,14.50007603,1.135162247,0.669353567,1177.85849,0.086130488,42,45,1.89,47.65,2,10,249.23,2.49,
Batch048,25-Sep-01,11-Oct-01,RVM,13.75217001,2.232199072,0.480405525,2204.515222,0.086991546,42,57,2.39,64.09,2.69,14,215.12,3.01,
Batch054,30-Oct-01,09-Oct-01,RVM,18.02813905,1.545639282,0.999471972,4111.847193,0.208940597,43.5,111,4.83,95.32,4.15,22.1,159.75,3.53,
Batch055,30-Oct-01,09-Oct-01,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch058,13-Nov-01,20-Nov-01,RVM,13.11942134,1.416585574,0.980368446,1586.726509,0.095123989,43,67,2.88,38.07,1.64,8,228.71,1.83,
Batch061,27-Nov-01,05-Dec-01,RVM,10.56773475,1.016158764,0.491083668,1898.024081,0.148254759,29,73,2.12,42.48,1.23,6,208.49,1.25,
Batch064,11-Dec-01,10-Dec-01,RVM,14.71203402,1.459435932,0.544920326,1891.785294,0.083494087,42,51,2.14,30.54,1.28,6,208.97,1.25,
Batch068,11-Feb-02,05-Feb-02,RVM,15.36262097,1.530283673,0.738205728,2437.103991,0.16514329,45,72,3.24,56.87,2.56,13,203.15,2.64,
Batch069,22-Apr-02,18-Feb-02,RVM,18.67508862,1.576922294,0.69342027,2529.90632,0.186865353,37,72,2.66,3.87,0.14,1,647.18,0.65,
Batch071,13-May-02,21-May-02,RVM,18.27253372,1.632558709,0.607978799,1515.543193,0.075990408,45.8,39,1.79,28.71,1.31,6.6,175.97,1.16,
Batch073,20-May-02,28-May-02,RVM,18.18962614,2.157516098,0.583005695,2057.341085,0.199769293,55.3,100,5.53,45.43,2.51,12.4,236.63,2.93,
Batch075,10-Jun-02,24-Jun-02,RVM,15.63385574,1.522901771,0.682461475,1033.013114,0.109069953,53,41,2.17,25.07,1.33,7,256.29,1.79,
Batch077,17-Jun-02,24-Jun-02,RVM,12.22474316,1.596217309,0.834704833,2730.872859,0.213176353,60,64,3.84,44.54,2.67,14,189.85,2.66,
Batch079,24-Jun-02,02-Jul-02,RVM,13.74238153,2.128860416,0.810671228,3502.777629,0.192340632,75,68,5.1,38.3,2.87,14,231.48,3.24,
Batch081,01-Jul-02,21-Aug-02,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch083,08-Jul-02,17-Jul-02,RVM,13.26470554,0.550835572,0.799411448,1750.865331,0.122684823,47,40,1.88,36.04,1.69,9,176.72,1.59,
Batch085,15-Jul-02,24-Jul-02,RVM,14.46337619,1.354430106,0.420216661,9497.128831,0.662431755,77,108,8.32,28.82,2.22,11,.,.,
Batch087,22-Jul-02,31-Jul-02,RVM,19.07394007,1.742656054,0.699355755,4434.575376,0.284326578,79.2,55,4.36,44.53,3.53,17.5,192.28,3.36,
Batch088,22-Jul-02,31-Jul-02,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch090,29-Jul-02,07-Aug-02,RVM,13.06914324,1.969546482,0.827444281,4183.583452,0.323775365,74,99,7.33,41.86,3.1,15.8,217.65,3.44,
Batch091,29-Jul-02,07-Aug-02,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch093,05-Aug-02,09-Aug-02,RVM,10.25260876,1.30097356,0.627932398,2988.000788,0.228822685,87.7,67,5.88,32.77,2.87,15,216.06,3.24,
Batch095,16-Sep-02,24-Sep-02,RVM,18.76524981,1.655523004,0.590490293,8009.106701,0.358857384,50.1,141,7.06,60.55,3.03,14.4,164.34,2.37,
Batch097,23-Sep-02,30-Sep-02,RVM,16.70135888,1.785199464,0.571243596,3791.680545,0.279266943,57,80,4.56,41.72,2.38,11.6,236.11,2.74,
Batch098,23-Sep-02,30-Sep-02,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch100,30-Sep-02,13-Sep-02,RVM,11.72964574,1.482403974,0.764456671,,,57.6,.,.,19.85,1.14,5.9,257.55,1.52,
Batch102,07-Oct-02,13-Sep-02,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch104,14-Oct-02,13-Sep-02,RVM,14.50909174,2.345198616,0.702829809,1823.298734,0.165012301,55,60,3.3,37.88,2.08,10.6,189.43,2.01,
Batch106,21-Oct-02,28-Oct-02,RVM,17.02326301,1.305276818,0.466697776,615.0566882,0.034312645,80.8,247,19.96,20.95,1.69,9.1,157.93,1.44,
Batch108,28-Oct-02,04-Nov-02,RVM,19.84684685,1.946461214,0.561125259,2186.330759,0.1589999,48.9,54,2.64,17.79,0.87,4.5,225.37,1.01,
Batch110,04-Nov-02,11-Nov-02,RVM,10.80366728,1.177122397,0.696115103,2698.577634,0.1144309,49.4,49,2.42,21.6,1.07,4.8,234.65,1.13,
Batch112,11-Nov-02,08-Nov-02,RVM,10.77687074,1.420070593,0.481502671,963.047197,0.098503391,48.7,36,1.75,24.36,1.19,6,178.32,1.07,
Batch114,18-Nov-02,08-Nov-02,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch116,25-Nov-02,21-Nov-02,RVM,18.54220301,1.887482318,0.769742259,1674.57907,0.06832649,49,38,1.86,24.52,1.2,6,204.44,1.23,
Batch118,02-Dec-02,21-Nov-02,RVM,15.05251409,2.285129132,0.586324998,3251.667607,0.246357916,69.4,92,6.38,44.82,3.11,14.8,204.88,3.03,
Batch120,09-Dec-02,21-Nov-02,RVM,13.9947763,2.190648307,0.481861032,2787.002038,0.208720241,55.5,148,8.21,46.3,2.57,12.9,197.07,2.54,
Batch122,28-Jan-03,23-Jan-03,RVM,10.75237524,1.226727035,0.515867248,2066.635659,0.133235061,38.3,35,1.34,15.26,0.58,2.6,186.7,0.49,
Batch124,04-Feb-03,12-Feb-03,RVM,10.44061408,2.659355492,0.621964238,3416.370092,0.148825576,40.9,59,2.41,30.26,1.24,6.4,173.75,1.11,
Batch126,11-Feb-03,29-Jan-03,RVM,12.77278809,2.316783083,0.867800591,5426.429822,0.277277936,35.6,1276,45.43,69.72,2.48,12.4,206.54,2.56,
Batch128,18-Feb-03,13-Feb-03,RVM,11.22167739,1.493439076,0.50190107,4541.393074,0.311972183,60.2,61,3.67,57.89,3.48,17.8,184.54,3.28,
Batch129,18-Feb-03,13-Feb-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch131,25-Feb-03,13-Feb-03,RVM,19.27526521,1.759042158,0.532313662,5662.745187,0.332820927,29.9,176,5.26,91.93,2.75,14,162.24,2.27,
Batch133,03-Mar-03,11-Mar-03,RVM,15.11597415,2.059270733,0.604662332,4319.218071,0.247050439,67.1,63,4.23,41.04,2.75,14.1,207.87,2.93,
Batch135,10-Mar-03,17-Mar-03,RVM,15.79624568,2.411757578,0.693513338,3295.431163,0.156115278,58.8,109,6.41,66.2,3.89,19.9,160.29,3.19,
Batch136,10-Mar-03,17-Mar-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch138,17-Mar-03,24-Mar-03,RVM,14.67921022,2.243333952,0.679185743,6082.978999,0.248397655,66.1,79,5.22,46.42,3.07,14.7,242.88,3.57,
Batch140,25-Mar-03,31-Mar-03,RVM,19.34444988,1.600087038,0.566299903,6641.941641,0.358487569,64.7,103,6.66,63.06,4.08,20.2,168.97,3.41,
Batch141,25-Mar-03,31-Mar-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch143,31-Mar-03,07-Apr-03,RVM,12.80463125,2.47973349,0.622245687,8253.662445,0.365809339,68.6,109,7.48,49.89,3.42,17.5,197.31,3.45,
Batch144,31-Mar-03,07-Apr-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch146,07-Apr-03,14-Apr-03,RVM,13.48519633,1.597624164,0.541501344,3425.179231,0.326815541,56.4,96,5.41,42.2,2.38,12.1,204.41,2.47,
Batch148,14-Apr-03,22-Apr-03,RVM,14.43702184,2.650877774,0.638115341,4739.44041,0.491205368,78.8,96,7.56,47.76,3.76,19.2,179.41,3.44,
Batch149,14-Apr-03,22-Apr-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch151,21-Apr-03,28-Apr-03,RVM,15.7338287,1.983730304,0.559729598,6488.626367,0.236522515,66.5,104,6.92,64.65,4.3,21.7,224.14,4.86,
Batch152,21-Apr-03,28-Apr-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch154,28-Apr-03,05-May-03,RVM,15.65564328,1.642626805,0.622202144,2868.035166,0.104773375,54.2,55,2.98,12.53,0.68,3.3,364,1.2,
Batch156,05-May-03,12-May-03,RVM,15.04960911,1.990978741,0.672616455,3134.913946,0.17424656,49.2,106,5.22,24.27,1.19,6.3,180.3,1.14,
Batch158,12-May-03,19-May-03,RVM,12.81018164,2.635041311,0.428095258,1884.281738,0.212597391,58.7,56,3.29,34.63,2.03,10.4,239.7,2.49,
Batch160,16-May-03,16-May-03,RVM,18.64283302,2.632293141,0.5402229,5250.504618,0.239645059,60.2,78,4.7,44.62,2.69,13.9,200.33,2.78,
Batch163,07-Jul-03,15-Jul-03,RVM,12.49724887,1.4682265,0.52495027,2343.342731,0.12759623,53.2,46,2.45,27.21,1.45,7.9,244.42,1.93,
Batch165,14-Jul-03,21-Jul-03,RVM,17.85436459,1.466166605,0.662955221,3486.321697,0.223038561,55.9,93,5.2,58.05,3.24,16,184.86,2.96,
Batch167,21-Jul-03,28-Jul-03,RVM,15.69352789,1.537633927,0.683204232,1497.2303,0.108461251,59.7,71,4.24,34.65,2.07,10.2,181.51,1.85,
Batch169,14-Oct-03,22-Oct-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch171,21-Oct-03,28-Oct-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch173,28-Oct-03,04-Nov-03,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch176,16-Mar-04,23-Mar-04,RVM,12.19281582,1.796103342,0.855969557,2207.445327,0.191547258,56.8,99,5.62,53.65,3.05,15.2,171.52,2.61,
Batch178,29-Mar-04,05-Apr-04,RVM,16.9598146,2.092354289,0.354929108,3057.565692,0.1770975,62.3,111,6.92,46.39,2.89,14.4,201.62,2.9,
Batch183,10-May-04,17-May-04,RVM,19.7325378,1.799138886,0.41841203,2267.757049,0.114634583,46.4,64,2.97,45.93,2.13,10.7,205.89,2.2,
Batch187,01-Jun-04,08-Jun-04,RVM,13.6105789,1.582989054,0.593845188,3340.864999,0.146200296,53.7,71,3.81,78.95,4.24,21.6,185.88,4.02,
Batch188,01-Jun-04,08-Jun-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch191,15-Jun-04,23-Jun-04,RVM,10.25842511,2.444591051,0.702969661,3517.93092,0.180267362,25.4,107,2.72,102.93,2.61,13.6,176.89,2.41,
Batch196,05-Oct-04,13-Oct-04,RVM,12.74576707,1.964105845,0.78428558,4597.756308,0.47798996,60.2,131,7.89,107.47,6.47,32.3,187.4,6.05,
Batch197,05-Oct-04,13-Oct-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch198,05-Oct-04,13-Oct-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch201,18-Oct-04,26-Oct-04,RVM,13.6188647,1.906216596,0.556440501,4927.604652,0.338531356,62.1,72,4.47,98.95,6.14,30.7,195.58,6,
Batch202,18-Oct-04,26-Oct-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch203,18-Oct-04,26-Oct-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch204,18-Oct-04,26-Oct-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch207,01-Nov-04,09-Nov-04,RVM,16.05025127,2.524457409,0.626285969,7792.292058,0.386353706,63.6,109,6.93,97.01,6.17,30.6,196.59,6.02,
Batch208,01-Nov-04,09-Nov-04,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch210,08-Nov-04,16-Nov-04,RVM,17.14591912,1.500666776,0.66168268,3643.24962,0.210324373,47.3,105,4.97,59.4,2.81,14.1,204.67,2.89,
Batch212,15-Nov-04,23-Nov-04,RVM,15.97806496,2.317237706,0.763242835,2937.697722,0.155419291,70.7,59,4.17,48.46,3.43,15,212.96,3.19,
Batch214,22-Nov-04,30-Nov-04,RVM,18.0302292,1.629540169,0.473744877,3413.727881,0.223455084,65.2,85,5.54,55.19,3.6,15.2,211.78,3.22,
Batch216,29-Nov-04,07-Dec-04,RVM,10.04742609,2.258266217,0.715172483,3727.332086,0.302418399,69.1,79,5.46,52.24,3.61,15.1,186.11,2.81,
Batch218,06-Dec-04,14-Dec-04,RVM,11.28379688,1.984005536,0.411146248,5283.017441,0.192956343,52.3,91,4.76,59.7,3.12,15,178.81,2.68,
Batch220,24-Jan-05,01-Feb-05,RVM,16.47551448,1.447575179,0.74308492,1641.130759,0.078089959,54.8,39,2.14,48.07,2.63,13.2,157.28,2.08,
Batch223,04-Feb-05,14-Feb-05,RVM,17.87702398,1.415249659,0.448535192,2281.617644,0.145991119,53,53,2.81,50.24,2.66,13.6,173.85,2.36,
Batch225,14-Feb-05,22-Feb-05,RVM,18.40494871,2.193982577,0.430996471,3642.270798,0.175525525,60.5,54,3.27,51.82,3.14,15,195.72,2.94,
Batch227,21-Feb-05,02-Mar-05,RVM,11.27584133,1.549621676,0.732767792,3278.326014,0.155369907,56.6,67,3.79,42.4,2.4,12,195.6,2.35,
Batch229,28-Feb-05,07-Mar-05,RVM,11.83159869,1.708507662,0.786323275,3116.235557,0.155153058,49.6,85,4.22,41.74,2.07,10.3,188.4,1.94,
Batch231,07-Mar-05,16-Mar-05,RVM,19.74485794,1.247735459,0.620435172,2032.017309,0.192280271,49.1,65,3.19,30.08,1.48,7.3,171.2,1.25,
Batch233,14-Mar-05,23-Mar-05,RVM,16.66039657,1.688332784,0.469389843,2133.772234,0.09907093,53.7,65,3.49,16.98,0.91,5.2,162.09,0.84,
Batch235,21-Mar-05,30-Mar-05,RVM,18.51615166,2.250050149,0.781185211,4281.558278,0.222939575,53,96,5.09,30,1.59,7.8,200.44,1.56,
Batch237,28-Mar-05,06-Apr-05,RVM,16.12306229,2.42373293,0.522248212,1745.473769,0.092352183,53.9,48,2.59,31.57,1.7,8.3,161.98,1.34,
Batch239,04-Apr-05,13-Apr-05,RVM,10.49483169,1.703076443,0.526424801,5761.520867,0.226045965,57.2,102,5.83,52.59,3.01,15.4,183.49,2.83,
Batch241,11-Apr-05,18-Apr-05,RVM,19.59835206,2.29020284,0.567114629,3944.096816,0.467158786,58.8,157,9.23,56.51,3.32,14.4,211.35,3.04,
Batch243,18-Apr-05,25-Apr-05,RVM,19.69029619,1.565220814,0.572563065,4308.501121,0.2286022,62.8,88,5.53,64.62,4.06,20.7,174.08,3.6,
Batch244,18-Apr-05,25-Apr-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch246,25-Apr-05,02-May-05,RVM,13.04602784,1.752478733,0.659131353,4032.455237,0.201309356,56.9,78,4.44,48.83,2.78,14.2,188.65,2.68,
Batch248,02-May-05,09-May-05,RVM,13.83640003,1.326125383,0.690783566,3584.369127,0.184709174,56.7,90,5.1,53.24,3.02,14.3,191.42,2.74,
Batch250,09-May-05,16-May-05,RVM,13.42632718,1.298168005,0.739351051,5109.71672,0.179549331,59,88,5.19,43.11,2.54,12.6,224.94,2.83,
Batch252,16-May-05,24-May-05,RVM,19.74241224,1.864369448,0.559211767,5868.540582,0.218218032,53.1,97,5.15,64.36,3.42,14,238.12,3.33,
Batch254,30-May-05,07-Jun-05,RVM,18.69506527,1.39281343,0.637894274,3157.048015,0.249034867,54.9,80,4.39,49.81,2.73,13.6,212.59,2.89,
Batch255,30-May-05,07-Jun-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch257,06-Jun-05,14-Jun-05,RVM,13.36006189,1.144409923,0.445746264,2937.095485,0.288257998,96.8,46,4.45,33.68,3.26,16.3,188.5,3.07,
Batch258,06-Jun-05,14-Jun-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch260,13-Jun-05,22-Jun-05,RVM,18.76948907,1.980490594,0.595490263,3271.612768,0.138643523,54.9,73,4.01,41.7,2.29,11.6,192.21,2.23,
Batch262,20-Jun-05,29-Jun-05,RVM,14.97980276,1.790050643,0.770284269,7100.829436,0.452511275,61.8,127,7.85,47.98,2.97,14.5,225.35,3.27,
Batch263,20-Jun-05,29-Jun-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch265,27-Jun-05,06-Jun-05,RVM,18.98096463,1.950290256,0.559529547,2293.088758,0.158782858,67,44,2.95,55.49,3.72,14.1,245.9,3.47,
Batch267,04-Jul-05,12-Jul-05,RVM,14.08981436,1.260179605,0.651312713,2422.619211,0.14517262,68.5,46,3.15,59.26,4.06,20.6,190.52,3.92,
Batch268,04-Jul-05,12-Jul-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch271,15-Jul-05,02-Aug-05,RVM,18.52043101,1.496085523,0.5347689,1631.772372,0.081882081,55.4,28,1.55,24.25,1.34,6.7,208.77,1.4,
Batch274,19-Sep-05,27-Sep-05,RVM,12.67365545,2.502702233,0.60673311,7260.713667,0.471891342,69,145,10.01,85.67,5.91,29.4,212.36,6.24,
Batch275,19-Sep-05,27-Sep-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch277,26-Sep-05,.,RVM,10.19911514,1.278017571,0.426573663,6180.223967,0.348210232,61.9,91,5.63,50.43,3.12,14.8,202.98,3,
Batch278,03-Oct-05,11-Sep-05,RVM,13.15253969,0.966991979,0.551598096,1259.827263,0.078407165,47.6,27,1.29,12.34,0.59,2.7,220,0.59,
Batch280,10-Oct-05,18-Oct-05,RVM,13.02065472,1.535954047,0.566930909,2512.018524,0.230522404,61.7,58,3.58,45.76,2.82,14.4,201.84,2.91,
Batch282,17-Oct-05,25-Oct-05,RVM,16.67180125,1.577287425,0.712385438,2704.061926,0.262375853,52.7,45,2.37,32.09,1.69,8.2,206.17,1.69,
Batch285,31-Oct-05,08-Nov-05,RVM,36.65433659,2.598375197,0.561640171,2763.866832,0.212264723,61.7,54,3.33,39.98,2.47,12.4,196.45,2.44,
Batch287,07-Nov-05,15-Nov-05,RVM,17.80721385,1.891045158,0.564412091,3029.976579,0.166445842,53.5,60,3.21,37.12,1.99,10,206.11,2.06,
Batch289,14-Nov-05,22-Nov-05,RVM,17.39944238,1.923723748,0.393290312,9946.005328,0.672952434,65.3,149,9.73,85.51,5.58,27.7,204.4,5.66,
Batch290,14-Nov-05,22-Nov-05,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch292,21-Nov-05,29-Nov-05,RVM,15.62235166,1.642687895,0.454163377,4142.387543,0.222066383,56.2,74,4.16,44.98,2.53,12.4,205.53,2.55,
Batch294,28-Nov-05,06-Dec-05,RVM,18.46091863,2.245353441,0.636109466,5680.901244,0.238359241,61.4,96,5.89,63.14,3.88,14.7,230.97,3.4,
Batch296,05-Dec-05,13-Dec-05,RVM,10.12271545,1.923885245,0.742031534,5048.364188,0.374156699,64.1,73,4.68,63.17,4.05,14.6,201.5,2.94,
Batch299,16-Jan-06,25-Jan-06,RVM,14.21109584,1.883846316,0.73068466,3444.104866,0.367475246,67.4,84,5.66,67.96,4.58,22.8,144.17,3.29,
Batch300,16-Jan-06,25-Jan-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch301,23-Jan-06,31-Jan-06,RVM,11.69510717,1.773868602,0.550192243,5313.143241,0.240391775,66,75,4.95,38.59,2.55,12.7,197.1,2.5,
Batch304,30-Jan-06,07-Feb-06,RVM,11.3393665,1.804880618,0.735838714,2602.597961,0.106526724,59.7,32,1.91,24.22,1.45,6.9,227.68,1.57,
Batch306,07-Feb-06,14-Feb-06,RVM,16.83418317,1.135725459,0.449469954,6205.535926,0.261036679,65.9,80,5.27,34.74,2.29,11.2,215.64,2.42,
Batch308,13-Feb-06,21-Feb-06,RVM,13.94910868,1.196235046,0.496323376,4613.774278,0.275712576,57.8,72,4.16,34.55,2,9.9,201.72,2,
Batch311,27-Feb-06,07-Mar-06,RVM,11.49437852,2.427098821,0.602751561,4663.704614,0.348269037,78.5,82,6.44,70.88,5.56,27.9,171.21,4.78,
Batch312,27-Feb-06,07-Mar-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch315,13-Mar-06,21-Mar-06,RVM,17.13221288,1.269103488,0.663028421,5087.177848,0.434152122,66,107,7.06,78.5,5.18,25.7,196.86,5.06,
Batch316,13-Mar-06,21-Mar-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch319,27-Mar-06,03-Apr-06,RVM,10.89674289,1.420724711,0.653063611,7158.544446,0.290500432,64.1,141,9.04,85.91,5.51,27.4,202.74,5.56,
Batch320,27-Mar-06,03-Apr-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch323,10-Apr-06,.,RVM,16.41012515,1.338132563,0.435271562,3950.710462,0.336397632,63.6,100,6.36,66.76,4.25,20.9,180.13,3.76,
Batch324,10-Apr-06,18-Apr-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch326,24-Apr-06,02-May-06,RVM,11.28975238,1.626900261,0.625871177,13117.68658,0.441787871,66.2,167,11.06,84.32,5.58,32.8,170.01,5.58,
Batch327,24-Apr-06,02-May-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch328,24-Apr-06,02-May-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch332,08-May-06,16-May-06,RVM,11.54890981,1.622735762,0.56516573,6967.171427,0.338415191,51.8,115,5.96,91.57,4.74,23.7,202.44,4.8,
Batch333,08-May-06,16-May-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch336,29-May-06,06-Jun-06,RVM,10.61152761,1.978281511,0.466380396,10668.63669,0.434303918,55.2,147,8.11,83.25,4.6,23.1,207.02,4.78,
Batch337,29-May-06,06-Jun-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch340,12-Jun-06,20-Jun-06,RVM,11.84072637,1.909329371,0.634687251,4371.796525,0.235942907,61.9,65,4.02,58.04,3.59,14.4,266.51,3.84,
Batch345,26-Jun-06,04-Jul-06,RVM,10.73515853,2.183512497,0.512560363,8625.82741,0.357213523,72.3,86,6.22,78.48,5.67,28.2,196.1,5.53,
Batch346,26-Jun-06,04-Jul-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch349,03-Jul-06,11-Jul-06,RVM,10.25438777,2.400954705,0.415066577,3963.260328,0.232805227,62.8,95,5.97,80.19,5.04,25.1,206.79,5.19,
Batch350,03-Jul-06,11-Jul-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch352,10-Jul-06,18-Jul-06,RVM,18.21466293,1.710430236,0.399467539,4929.317871,0.341141214,59.5,74,4.4,66.93,3.98,19.3,232.94,4.5,
Batch353,10-Jul-06,18-Jul-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch355,17-Jul-06,25-Jul-06,RVM,12.09065149,1.49961739,0.360703213,4460.277402,0.211350793,60.2,91,5.48,60.56,3.65,18,203.34,3.66,
Batch356,17-Jul-06,25-Jul-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch359,31-Jul-06,09-Aug-06,RVM,10.87330339,1.944220314,0.535148111,7295.726213,0.401307716,78.7,108,8.5,72.29,5.69,27.4,206.84,5.67,
Batch360,31-Jul-06,09-Aug-06,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch361,01-Aug-06,08-Nov-06,RVM,13.94375266,3.215457053,0.67174852,2423.541348,0.090806203,47.5,76,3.61,64.27,3.05,18.4,137.28,2.53,
Batch365,11-Sep-06,19-Sep-06,RVM,8.063194283,1.230243008,0.416823029,4477.105698,0.491295336,73.8,104,7.68,88.55,6.53,32.8,184.31,6.05,
